SHOOTER	MODEL	TYPE	MANUF	FIRE ACT	CALIBER	CAPACITY	MAGAZINE(S)	ATTACHMENTS	RNDS	NOTES	STD	LEG	ACQ	ACQ STATE	
Bowers, Robert D.		Shotgun								Identified in police report on weapons seized, not used.					
Wong, Albert C.		Shotgun	Stoeger Coach	SS	12-guage				1	used to kill self					
Smith, Timothy O.		Rifle			.308										
Kelley, Devin P.	19	Pistol	Glock	SA	9x19						17-rnd	prohibited from owning firearms but NCIC not updated by USAF			
	SR22	Pistol	Sturm, Ruger & Co.	SA	.22						10-rnd	prohibited from owning firearms but NCIC not updated by USAF			
Paddock, Stephen C.	342 AirLite Ti	Revolver	Smith & Wesson	SA	.38	5-rnd			1	SN CDZ7618. Silver and black. Main Room. Found with 4 rounds in chamber and one expended. Used to kill self	5-rnd	legal	08/14/2000	CA	
	Competition	AR-15 Rifle	Colt	SA-M	.233	100-rnd		bump stock, forward grip	0	SN CCR014544. Main Room	30-rnd	legal	05/25/2017		
	DD5V1	AR-10 Rifle	Daniel Defense	SA	.308	25-rnd		bipod, scope	0	SN DD5007426. Main Room	20-rnd	legal	12/31/2016	NV	
	DD5V1	AR-10 Rifle	Daniel Defense	SA	.308			bipod, scope	0	SN DD5008362. Main Room	20-rnd	legal	02/15/2017		
	FN15	AR-10 Rifle	FN Herstal	SA	.308	25-rnd		bipod, scope	0	SN FND000905 Main room. Converted to .308?	20-rnd	legal	07/05/2017		
	M61C	AR-15 Rifle	LWRC International	SA-M	.223	100-rnd		bump stock, forward grip	0	SN 24-18648. Main Room	30-rnd	legal	03/02/2017		
	P-308	AR-10 Rifle	POF-USA	SA	.308	25-rnd		bipod, scope	0	SN UA-1600204. Main room	20-rnd	legal	05/22/2017		
	SIG716	AR-10 Rifle	Sig Sauer	SA	.308	25-rnd		bipod, red dot optic	0	SN 23D020868. Main Room. AR-10	20-rnd	legal	01/06/2017		
	American	Bolt-Action Rifle	Sturm, Ruger & Co	BA	.308			scope	0	SN 695-93877. Secondary Room. Listed twice with two different purchase dates, using the latter	4-rnd	legal	03/22/2017		
	LM308MWS	AR-10 Rifle	LMT	SA	.308			bipod, red dot optic	0	SN LMS18321. Secondary Room.	20-rnd	legal			
Lam, Jimmy	459	Pistol	Smith & Wesson	SA	9x19	14-rnd			>1	used to kill self	14-rnd	stolen		CA	
Long, Gavin	XD	Pistol	Springfield Armory	SA	9x19	16-rnd				not used, found in car	16-rnd				
	STAG-15	AR-15 Rifle	Stag Arms	SA	.223					not used, in car	30-rnd				
Johnson, Micah X.	19 Gen4	Pistol	Glock	SA	9x19	30-rnd					15-rnd	legal			
	Fraser	Pistol	Fraser F. A. Corp	SA	.25						6-rnd	legal			
Dear, Robert	P7M13	Pistol	Heckler & Koch	SA	9x19					SN 17-80790					
	10/22	Carbine	Ruger	SA	.22					SN 247-86377					
	10/22	Carbine	Ruger	SA	.22					SN 242-65868					
	Mohawk	Shotgun	Remington	PA	12-guage					SN 5265193					
	M511	Pistol	Rossi	SA	.22					SN L002476					
	Detective Special	Revolver	Colt		.38 Special					SN H34428					
	P226	Pistol	Sig Sauer	SA	9x19					SN U366226					
	21A	Pistol	Beretta	SA	.22					SN BBS33749U					
Harpham, Noah	SP101	Revolver	Sturm, Ruger & Co.		.357										
	XD-M	Pistol	Springfield Armory	SA	9x19										
Harper-Mercer, Chris S.	SW99	Pistol	Smith & Wesson	SA	9x19					not used, left inside backpack	9-rnd	L/F/R/A/P/N/N/N			
	CF-380	Pistol	Hi-Point	SA	.380 ACP					not used, left inside backpack	8-rnd, 10-rnd	L/F/R/A/P/N/N/N	09/29/2015	OR	
	M642-2	Revolver	Smith & Wesson	SA	.38					not used, left inside backpack	5-rnd	L/F/O/A/P/N/N/N			
	DTI-15	AR-15 Rifle	Del-Ton	SA	.233					not used, left in bathroom	30-rnd	L/F/R/A/P/N/N/N			
Zawahri, John	1868	Revolver	Remington	SA	.44										
Lanza, Adam	Mark II	Bolt-Action Rifle	Savage Arms	BA	.22	10-rnd			4	Mother’s gun, Used to kill mother	10-rnd	legal		CT	
	20SF	Pistol	Glock	SA	10x25				2	Mother’s Gun, Used to kill self	10-rnd	legal		CT	
	Saiga-12	Shotgun	Kalishnikov Concern	SA	12-guage					Mother’s Gun, In car	5-rnd, 8-rnd	legal		CT	
	P226	Pistol	SIG Sauer	SA	9x19				1	Mother’s Gun, found on peson	12-rnd	legal		CT	
Stawicki, Ian L.	New Agent Series 90	Pistol	Colt	SA	.45 ACP					on person but not used	7-rnd	L/F/O/A/P/N/N/N		WA	
Sencion, Eduardo	Agent	Revolver	Colt	SA	.38 Special	6-rnd			1	used to kill self	6-rnd			NV	
	26 Gen3	Pistol	Glock	SA	9x19					In car	10-rnd			NV	
	GP-WASR-10	AKM Rifle	Romarm	SA	7.62x39						30-rnd			NV	
Stewart, Robert			Revolver		SA	.357 Magnum					on belt, not used				
			Pistol		SA	.22					on belt, not used				
Kazmierczak, Steven	P232	Pistol	SIG Sauer	SA	.380 Auto	7-rnd	1x 7-rnd			SN S251262. not used	7-rnd	L/F/O/A/P/M/N/N	08/06/2007	IL	
	CF-380	Pistol	Hi-Point Firearms	SA	.380 ACP	8-rnd				SN P877636. not used	8-rnd	L/F/O/A/P/M/N/N	12/30/2007	IL	
Peterson, Tyler J.	22	Pistol	Glock	SA	.40					Used to kill self	15-rnd		08/06/2007		
Williams, Douglas		Derringer	Magnum	SS	.22					In car					
	P90	Pistol	Sturm, Ruger & Co	SA	.45 ACP					In car					
		Carbine			.22			Scope		In car	8-rnd				
Baker, William D.		Revolver		SA	.38							illegal, FOID invalidated		IL	
	870	Shotgun	Remington									illegal, FOID invalidated	12/30/1993	IL	
	Marlin	Carbine	Winchester		.30			Scope				illegal, FOID invalidated	12/30/1993	IL	
McDermott, Michael	Mark V	Carbine	Weatherby	BA	.460					Found at workdesk.		illegal possession???			
		Pistol	Retolaza Hermanos	SA	.32					Found loaded in right front pocket. Possibly a Ruby?		illegal possession???			
Kinkel, Kipland P.	MK II	Rimfire Pistol	Sturm, Ruger & Co	SA	.22				6	Carrying but not used at school. Killed mother with it.		S/F/R/A/P/N/N/N		OR	
Torres, Arturo R.		Shotgun			12-guage							L/F/O/A/N/N/N/N		CA	
		Handgun										L/F/O/A/N/N/N/N		CA	
McCree, Clifton		Revolver			.32					Carryed but not used					
Pough, James E.	RG-31	Revolver	RG Industries	SA	.38 Special	5-rnd			1	killed self	5-rnd	legal			
	P226	Pistol	SIG Sauer	SA	9x19				1		12-rnd	legal	08/26/2008	KY	
	MAC-11	SMG	Military Armament Corporation	SA						left in duffel bag		legal	02/28/1988		
	MAC-11	SMG	Military Armament Corporation	SA						left in duffel bag		legal	02/28/1988		
	Model 12 Airweight	Revolver	Smith & Wesson	SA	.38 Special					snub nosed, left in duffel bag		legal		TN	
Purdy, Patrick	PT92	Pistol	Tauras	SA	9x19				1	used to kill self	15-rnd	legal	08/03/1988	CA	
Farley, Richard	BDA	Pistol	Browning		.380 ACP										
		Revolver	Smith & Wesson		.357										
		Carbine	Sturm, Ruger & Co		.22										
	Sentinel	Revolver	High Standard	SA	.22						9-rnd				
		Shotgun	Mossberg	PA	12-guage										
	M-77	Bolt-Action Rifle	Sturm, Ruger & Co	BA	.22-250			scope			4-rnd	L/U/U/U/N/N/N/U			
Cruse, William B.		Revolver			.38					bought in 1964				OH	
		Shotgun	Winchester		20-gauge					too old to trace					
Abdulazeez, Mohammod Y.	Saiga-12	Shotgun	Kalishnikov Concern	SA	12-guage					bought online in 2014	5-rnd, 8-rnd				
		Handgun		SA	9x19										
Rodger, Elliot	34	Pistol	Glock	SA	9x19	10-rnd				in vehicle, not used	17-rnd		11/01/2012	CA	
	P226R	Pistol	SIG Sauer	SA	9x19					In vehicle, not used	12-rnd		02/22/2014	CA	
Roberts, Charles C.	BPS	Shotgun	Browning	PA	12-guage	4-rnd				Carryed but not used	4-rnd				
