NAME	TYPE	SIZE (mm)	DIAMETER (mm)	CASE LEN (mm)	BULLET LENGTH (mm)	WEIGHT (gr)	MV (m/s)	ME (N-m)	MOMENTUM (kg⋅m/s)	CHARGE (gr)	NOTE
2mm Kolibri	H	2.7x9					198.12	4.067			
.17 Hornet	R	4.37x35.31					1106.119	955.873		13.2	
.17 HM2	R	4.4x18.1					640.08	225.071			
.17 WSM	R	4.4x31					914.4	542.339			
.17 Remington Fireball	R	4.4x36.1					1230.478	980.278		20.5	
.17 Remington	R	4.4x45.6					1256.69	1290.767		27	
.17 HMR	R	4.5x26.9					769.62	333.539			
4.6x30mm	H	4.6x30					734.568	543.695			
5mm Remington Rimfire Magnum	R	5x26					640.08	443.362			
.204 Ruger	R	5.2x47	5.2	47		24, 32, 40, 45	1341.12, 1287.78, 1188.72, 1104.9	1399.204, 1719.177, 1831.71, 1780.189	2.086, 2.67 , 3.081, 3.222	31.5	
5.45x18mm	H	5.45x18					304.8	127.45			
5.45x39mm	R	5.45x39	5.6	39.82		53, 56, 57, 60	883.92, 883.92, 883.92, 859.536	1327.348, 1401.918, 1461.574, 1435.813	3.036, 3.208, 3.265, 3.342		
.224 Boz	H	5.56x23					762	940.958			
5.56x45mm NATO	R	5.56x45	5.71	44.7	25.4	55, 62, 63	993.648, 947.928, 856.488	1754.431, 1796.462, 1796.462	3.541, 3.808, 3.496	29.5	estimated
.223 Remington	R	5.56x45	5.7	45	25.4	36, 40, 50, 62, 69, 77	1097.28, 1036.32, 914.4, 838.2, 914.4, 944.88	1407.341, 1392.427, 1354.464, 1411.409, 2226.256	2.56, 2.686, 2.963, 3.367, 4.088, 4.714	29.5	
.22 Short	H	5.6x11	5.6	10.7		27, 29	354.787, 345.034	117.956, 111.177	0.621, 0.648	4	
5.6mm Gw Pat 90	R	5.6x45					1219.2	1685.319		29.5	
.22 BR Remington	R	5.69x38.15					1102.462	2155.798		32.8	
.22 LR	R	5.7x15.6	5.7	15.6		30, 31, 32, 38, 40	499.872, 533.4, 435.864, 384.048, 365.76	258.962, 276.587, 191.171, 181.68, 177.612	0.972, 1.071, 0.904, 0.946, 0.948	5	
.22 WMR	R	5.7x26.8					670.56	436.583			
5.7x28mm	H	5.7x28	5.7	28.9	20.83	23, 28, 31	853.44, 716.28, 716.28	542.328, 466.402, 534.193	1.272, 1.3, 1.439	13	
.218 Bee	R	5.7x34.2					1080.516	1114.507		14.9	
