MANUF	FULL MODEL	MODEL	VAR/CONF/GEN/SER	CATEGORY	TYPE	SUB-TYPE	FIRE_MECH	CALIBER	BRL-LEN (in)	MIN-LEN  (in)	MAX-LEN  (in)	WEIGHT (lbs)	TRG-PULL	STOCK	GRIP	ACTION	TWIST (in)	FS (mm)	RS (mm)	SR (mm)	CYCLIC ROF	EFF ROF	EFF-RNG-AREA (m)	EFF-RNG-PT (m)	MOA	FEED-SYS	FEED-LOC	STD-CAP	CLONE	NOTES
Intratec	Tec-9 Mini	Tec-9 Mini		Pistol	SMG		SA	9x19	2.99	10.5	10.5	2.75	6	None	HG	blowback	1:10			196.85	1000			50		mag-well:btn-release:insert-lock	forward	16, 32		
Ingram	M-11	M-11		Pistol	SMG		SA	.380 ACP, 9x19	5.08	9.76	20.9	3.5		Folding	HG	straight-blowback					1200			50		mag-well:btn-release:insert-lock	inside	25		
MasterPiece Arms	M-10	M-10		Pistol	SMG		SA	9x19, .45 ACP	5.75	10.7	21.57	6.26		Folding	HG	straight-blowback					1200					mag-well:btn-release:insert-lock	inside	30		
Navegar-Intratec	Tec-9 Mini	Tec-9 Mini		Pistol	SMG		SA	9x19	2.99	9.49	9.49	2.71	6	Folding	HG	blowback	1:10			196.85	1000			50		mag-well:btn-release:insert-lock	forward	16, 32		NEED TO CONFIRM THESE SPECS
Beretta	92FS	92FS		Pistol			SA	9x19	4.9	8.5	8.5	2.08		N/A	HG	double/single, short-recoil	1:10		6.858	154.94	800	40				mag-well:btn-release:insert-lock	inside	10, 15	M9	cyclic ROF based on M9
Beretta	92FS Inox	92FS	Inox	Pistol			SA	9x19	4.9	8.5	8.5	2.08		N/A	HG	double/single, short-recoil	1:10		6.858	154.94	800	40				mag-well:btn-release:insert-lock	inside	10, 15	M9	difference is slide/barrel material
Beretta	M9	M9		Pistol			SA	9x19	4.9	8.5	8.5	2.08	5-13	N/A	HG	double/single, short-recoil	1:9.8		7.366	154.94	800			50		mag-well:btn-release:insert-lock	inside	10, 15		
Beretta	Px4 Storm	Px4	Storm	Pistol			SA	9x19, .40, .45 ACP	3	6.2	6.2	1.69		N/A	HG	double/single, short-recoil	1:9.8							50		mag-well:btn-release:insert-lock	inside	9, 10		Estimated MV on gunsgunsguns.net, beretta-px4-storm-type-f-sub-compact table at high-end CorBon 125 gr
Browning	HP-35	HP-35		Pistol			SA	9x19	4.63	7.75	7.75	2.2		N/A	HG	short-recoil, tilting-barrel	1:9.8					30	100	50		mag-well:btn-release:insert-lock	inside	13		also known as HP-35, HP, Hi Power
Colt	1911A1	1911	A1	Pistol			SA	.45 ACP	5	8.5	8.5	2.44		N/A	HG	short-recoil, locked-breech	1:16	5.334				25	100	50		mag-well:btn-release:insert-lock	inside	7		fsh runs roughly  .170, .190, .210 estimated using .190
Colt	Mustang	Mustang		Pistol			SA	.380 ACP	2.75	5.5	5.5	0.78	5.63	N/A	HG	locked-breech										mag-well:btn-release:insert-lock	inside	5, 6		
Česká Zbrojovka	Cz 85	Cz 85		Pistol			SA	9x19, .40 S&W	4.49	8.11	8.11	2.2		N/A	HG	short-recoil, tilting-barrel										mag-well:btn-release:insert-lock	inside	16		
FN Herstal	Five-SeveN	Five-SeveN		Pistol			SA	5.7x28	4.8	8.2	8.2	1.31	4.4-7.87	N/A	HG	delayed-blowback	1:9					40				mag-well:btn-release:insert-lock	inside	10, 20		
FN Herstal	FNP-40	FNP	40	Pistol			SA	.40 S&W	4	7.4	7.4	1.67	5.5-7.7	N/A	HG		1:16							50		mag-well:btn-release:insert-lock	inside	14		
Forjas Tauras	PT 24/7	PT 24/7		Pistol			SA	.40 S&W	4.25	7.13	7.13	1.74	6.5-7.5	N/A	HG		1:16									mag-well:btn-release:insert-lock	inside	17		
Glock	17	17		Pistol			SA	9x19	4.49	8.03	8.03	1.38	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:9.84									mag-well:btn-release:insert-lock	inside	17		
Glock	17 Gen4	17	Gen4	Pistol			SA	9x19	4.49	8.03	8.03	1.38	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:9.84									mag-well:btn-release:insert-lock	inside	17		
Glock	19	19		Pistol			SA	9x19	4.02	7.36	7.36	1.32	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:9.84	4.191	6.731	152						mag-well:btn-release:insert-lock	inside	15		
Glock	19 Gen2	19	Gen2	Pistol			SA	9x19	4.02	7.36	7.36	1.32	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:9.84	4.191	6.731	152						mag-well:btn-release:insert-lock	inside	15		
Glock	19 Gen4	19	Gen4	Pistol			SA	9x19	4.02	7.36	7.36	1.32	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:9.84	4.191	6.731	152						mag-well:btn-release:insert-lock	inside	15		
Glock	20 SF	20	SF	Pistol			SA	10mm Auto	4.61	8.07	8.07	1.63	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:16									mag-well:btn-release:insert-lock	inside	10		
Glock	21	21		Pistol			SA	.45 ACP	4.61	8.07	8.07	1.64	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:15.75									mag-well:btn-release:insert-lock	inside	13		
Glock	21 SF	21	SF	Pistol			SA	.45 ACP	4.61	8.07	8.07	1.63	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:15.75									mag-well:btn-release:insert-lock	inside	13		
Glock	22	22		Pistol			SA	.40 S&W	4.49	8.03	8.03	1.42	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:9.84									mag-well:btn-release:insert-lock	inside	15		
Glock	22 Gen4	22	Gen4	Pistol			SA	.40 S&W	4.49	8.03	8.03	1.42	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:9.84									mag-well:btn-release:insert-lock	inside	15		
Glock	23	23		Pistol			SA	.40 S&W	4.02	7.28	7.28	1.49	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:9.84									mag-well:btn-release:insert-lock	inside	10, 13		
Glock	31	31		Pistol			SA	.357	4.49	8.03	8.03	1.45	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:16									mag-well:btn-release:insert-lock	inside	13		
Glock	32	32		Pistol			SA	.357 SIG	4.02	7.36	7.36	1.37	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:16									mag-well:btn-release:insert-lock	inside	13		
Glock	33	33		Pistol			SA	.357	3.43	6.42	6.42	1.23	6.3	N/A	HG	short recoil, locked breach, tilting barrel	1:16									mag-well:btn-release:insert-lock	inside	9		
Glock	41	41		Pistol			SA	.45 ACP	5.31	8.78	8.78	1.49	5.4	N/A	HG	short recoil, locked breach, tilting barrel	1:15.75									mag-well:btn-release:insert-lock	inside	13		
Glock	42	42		Pistol			SA	.380 ACP	3.25	5.94	5.94	.76	5.4	N/A	HG	short recoil, locked breach, tilting barrel	1:9.84									mag-well:btn-release:insert-lock	inside	6		
Glock	45	45		Pistol			SA	9x19	4.02	7.44	7.44	1.36	5.85	N/A	HG		1:9.84									mag-well:btn-release:insert-lock	inside	17		
Heckler & Koch	USP Compact Tactical	USP Compact Tactical		Pistol			SA	.45	5.09	8.64	8.64	1.63	7.5	N/A	HG	short-recoil							100			mag-well:btn-release:insert-lock	inside	10, 12		threaded barrel for silencer
Heckler & Koch	HK45	HK45		Pistol			SA	.45 ACP	4.46	8.03	8.03	1.95	7.5-8.5	N/A	HG	short-recoil, recoil-buffer	1:16									mag-well:btn-release:insert-lock	inside	10		
Hi-Point Firearms	JHP	JHP		Pistol			SA	.45	4.5	7.75	7.75	2.19		N/A	HG		1:7									mag-well:btn-release:insert-lock	inside	9		
Llama Firearms	XI-B	XI-B		Pistol			SA	9x19	4.34	7.88	7.88	2.31	7	N/A	HG											mag-well:btn-release:insert-lock	inside	8		
Lorcin	L9	L9		Pistol			SA	9x19	4.5	7.75	7.75	1.93		N/A	HG									50		mag-well:btn-release:insert-lock	inside	10		
Luger	P08	P08		Pistol			SA	9x19	3.9	8.74	8.74	1.92		N/A	HG	toggle-locked,short-recoil	1:9.8							50		mag-well:btn-release:insert-lock	inside	8		
Makarov	Cz 82	Cz 82		Pistol			SA	9x18	3.8	6.8	6.8	1.75	4-10	N/A	HG	blowback, double-action	1:9.8							50		mag-well:btn-release:insert-lock	inside	12		
