NAME	ABBRV	GLS	POP 1990	POP IDX 1990	POP 2000	POP IDX 2000	POP 2010	POP IDX 2010	POP 2019	POP IDX 2019	POP DELTA	POP DENS	PI AVG
Oregon	OR	16	2842337	0.0114	3421524	0.0101	3831079	0.0092	4217737	0.0087	10.1	40.9	0.0098
New Hampshire	NH	30	1109252	0.0045	1235807	0.0039	1316462	0.0036	1359711	0.0034	3.3	147.8	0.0039
Montana	MT	33	799065	0.0032	902200	0.0028	989407	0.0026	1068778	0.0024	8.0	7.0	0.0027
Wyoming	WY	48	453589	0.0018	493786	0.0016	563775	0.0015	578759	0.0014	2.7	6.0	0.0016
Arkansas	AR	39	2350624	0.0094	2673293	0.0084	2916031	0.0076	3017804	0.0072	3.5	56.9	0.0081
Nebraska	NE	19	1578417	0.0063	1711230	0.0056	1826305	0.0051	1934408	0.0048	5.9	24.3	0.0054
Wisconsin	WI	22	4891954	0.0197	5363757	0.0174	5687285	0.0158	5822434	0.0149	2.4	106.0	0.0169
Michigan	MI	20	9295287	0.0374	9938823	0.033	9884116	0.0301	9986857	0.0283	1.0	175.0	0.0322
Kentucky	KY	46	3686892	0.0148	4042193	0.0131	4339333	0.0119	4467673	0.0112	3.0	111.3	0.0128
Connecticut	CT	3	3287116	0.0132	3405650	0.0117	3574147	0.0106	3565287	0.01	-0.2	742.6	0.0114
Texas	TX	33	16986335	0.0683	20851028	0.0604	25146091	0.055	28995881	0.0517	15.3	101.2	0.0588
Mississippi	MS	50	2575475	0.0104	2844754	0.0092	2968130	0.0083	2976149	0.0078	0.3	63.7	0.0089
Washington	WA	10	4866669	0.0196	5894281	0.0173	6724540	0.0158	7614893	0.0148	13.2	104.9	0.0169
Georgia	GA	32	6478149	0.026	8186653	0.023	9688729	0.021	10617423	0.0197	9.6	173.7	0.0224
New York	NY	5	17990778	0.0723	18977026	0.0639	19378144	0.0583	19453561	0.0548	0.4	417.0	0.0623
Idaho	ID	48	1006734	0.004	1293957	0.0036	1567657	0.0033	1787065	0.0031	14.0	19.5	0.0035
Alaska	AK	42	550043	0.0022	626933	0.002	710249	0.0018	731545	0.0017	3.0	1.3	0.0019
Arizona	AZ	45	3665339	0.0147	5130247	0.013	6392288	0.0119	7278717	0.0112	13.9	58.3	0.0127
Vermont	VT	23	562758	0.0023	608613	0.002	625737	0.0018	623989	0.0017	-0.3	68.0	0.0019
Delaware	DE	11	666168	0.0027	783559	0.0024	897937	0.0022	973764	0.002	8.4	475.1	0.0023
Virginia	VA	12	6189197	0.0249	7079057	0.022	8001049	0.02	8535519	0.0189	6.7	209.2	0.0215
West Virginia	WV	41	1793477	0.0072	1808193	0.0064	1853018	0.0058	1792147	0.0055	-3.3	77.1	0.0062
Illinois	IL	8	11430602	0.0459	12419927	0.0406	12831572	0.037	12671821	0.0348	-1.2	232.0	0.0396
Ohio	OH	25	10847115	0.0436	11353336	0.0385	11536751	0.0351	11689100	0.033	1.3	283.2	0.0376
Florida	FL	24	12938071	0.052	15982571	0.046	18804564	0.0419	21477737	0.0394	14.2	364.6	0.0448
Colorado	CO	15	3294473	0.0132	4302086	0.0117	5029319	0.0107	5758736	0.01	14.5	50.8	0.0114
Rhode Island	RI	9	1003464	0.004	1048259	0.0036	1052964	0.0033	1059361	0.0031	0.6	1017.1	0.0035
Massachusetts	MA	7	6016425	0.0242	6349364	0.0214	6547785	0.0195	6892503	0.0183	5.3	858.0	0.0209
New Jersey	NJ	2	7747750	0.0311	8414764	0.0275	8791978	0.0251	8882190	0.0236	1.0	1210.1	0.0268
Nevada	NV	16	1201675	0.0048	1998250	0.0043	2700677	0.0039	3080156	0.0037	14.1	25.4	0.0042
Kansas	KS	43	2477588	0.01	2688925	0.0088	2853123	0.008	2913314	0.0075	2.1	35.4	0.0086
Louisiana	LA	33	4221826	0.017	4469035	0.015	4533487	0.0137	4648794	0.0129	2.5	107.1	0.0147
Minnesota	MN	14	4375665	0.0176	4919631	0.0155	5303927	0.0142	5639632	0.0133	6.3	68.1	0.0152
North Carolina	NC	25	6632448	0.0267	8046346	0.0236	9535751	0.0215	10488084	0.0202	10.0	202.6	0.023
Missouri	MO	46	5116901	0.0206	5596564	0.0182	5988950	0.0166	6137428	0.0156	2.5	87.9	0.0178
South Carolina	SC	31	3486310	0.014	4012023	0.0124	4625366	0.0113	5148714	0.0106	11.3	158.8	0.0121
South Dakota	SD	44	696004	0.0028	754858	0.0025	814198	0.0023	884659	0.0021	8.7	11.1	0.0024
North Dakota	ND	38	638800	0.0026	642237	0.0023	672576	0.0021	762062	0.0019	13.3	10.5	0.0022
Iowa	IA	20	2776831	0.0112	2926538	0.0099	3046871	0.009	3155070	0.0085	3.6	55.3	0.0097
Hawaii	HI	4	1108229	0.0045	1211497	0.0039	1360307	0.0036	1415872	0.0034	4.1	218.6	0.0039
Alabama	AL	37	4040389	0.0162	4447207	0.0144	4780125	0.0131	4903185	0.0123	2.6	95.4	0.014
Oklahoma	OK	39	3145576	0.0126	3450451	0.0112	3751582	0.0102	3956971	0.0096	5.5	56.1	0.0109
Indiana	IN	27	5544156	0.0223	6080827	0.0197	6484051	0.018	6732219	0.0169	3.8	183.4	0.0192
Maryland	MD	6	4780753	0.0192	5296647	0.017	5773794	0.0155	6045680	0.0146	4.7	610.8	0.0166
Pennsylvania	PA	13	11882842	0.0478	12280548	0.0422	12702868	0.0385	12801989	0.0362	0.8	285.5	0.0412
Tennessee	TN	29	4877203	0.0196	5689427	0.0173	6346276	0.0158	6829174	0.0149	7.6	157.5	0.0169
New Mexico	NM	18	1515069	0.0061	1819017	0.0054	2059199	0.0049	2096829	0.0046	1.8	17.2	0.0052
California	CA	1	29811427	0.1198	33871653	0.1059	37254519	0.0966	39512223	0.0908	6.1	246.1	0.1033
Maine	ME	33	1227928	0.0049	1274779	0.0044	1328358	0.004	1344212	0.0037	1.2	43.1	0.0043
Utah	UT	28	1722850	0.0069	2233183	0.0061	2763891	0.0056	3205958	0.0052	16.0	35.3	0.006
District of Columbia	DC	5	606900	0.0024	572086	0.0022	601767	0.002	705749	0.0018	17.3	10588.8	0.0021
